duplicate_type,value,count,source_students,global_project_ids
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/857966,3,23273412;23273412;23273412,34321;34922;35070
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858010,2,23273412;23273412,34319;34919
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858015,2,23273412;23273412,33590;33994
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858083,3,23273412;23273412;23273412,34302;34900;35056
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858084,4,23273412;23273412;23273412;23273412,33877;34316;34414;34915
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858109,3,23273412;23273412;23273412,34291;34883;35044
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858146,3,23273412;23273412;23273412,34306;34905;35058
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858161,3,23273412;23273412;23273412,34397;34889;35049
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858167,5,23273412;23273412;23273412;23273412;23273412,33876;33937;34305;34904;35057
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858169,3,23273412;23273412;23273412,34303;34405;34901
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858175,2,23273412;23273412,34304;34903
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858176,2,23273412;23273412,34902;34974
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858184,2,23273412;23273412,34899;35055
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858199,3,23273412;23273412;23273412,34401;34893;35051
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858203,3,23273412;23273412;23273412,34285;34388;34875
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858211,4,23273412;23273412;23273412;23273412,34299;34402;34895;35052
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858240,6,23273412;23273412;23273412;23273412;23273412;23273412,33992;34297;34400;34673;34892;34973
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858243,4,23273412;23273412;23273412;23273412,34293;34393;34885;35046
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858247,3,23273412;23273412;23273412,34398;34890;35050
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858249,4,23273412;23273412;23273412;23273412,33875;34296;34399;34891
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858252,4,23273412;23273412;23273412;23273412,34300;34403;34897;35053
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858255,4,23273412;23273412;23273412;23273412,34286;34389;34810;34876
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858261,3,23273412;23273412;23273412,34292;34884;35045
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858281,3,23273412;23273412;23273412,34294;34395;34887
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858295,3,23273412;23273412;23273412,34394;34886;35047
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858301,5,23273412;23273412;23273412;23273412;23273412,34192;34289;34392;34881;35043
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858306,4,23273412;23273412;23273412;23273412,34295;34396;34888;35048
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858311,5,23273412;23273412;23273412;23273412;23273412,33874;34193;34290;34820;34882
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858312,2,23273412;23273412,34817;34878
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/858397,2,23273412;23273412,34880;35042
same_project_url,http://www.icpsr.umich.edu/icpsrweb/DSDR/studies/31881,4,23273412;23273412;23273412;23273412,34045;34108;34487;34648
